grapheme,phoneme,organized_grapheme,waw_o_exception_idx,silent_waw_idx,unwritten_A_phone_idx,spoken_A_grapheme_idx,is_variant,variant_num,variant_of_index
زیر‌برنامه‌,"('z', 'i', 'r', 'b', 'r', 'n', 'A', 'm', 'e')",زیر‌برنامِه‌,,,,,False,,
مرشد,"('m', 'o', 'r', 'S', 'e', 'd')",مُرشِد,,,,,False,,
ریکتزیا,"('r', 'i', 'k', 'e', 't', 'z', 'i', 'y', 'A')",ریکِتزیا,,,8,,False,,
دوغاب,"('d', 'u', 'q', 'A', 'b')",دوغاب,,,,,False,,
خرفت,"('x', 'e', 'r', 'e', 'f', 't')",خِرِفت,,,,,False,,
شهروز,"('S', 'a', 'h', 'r', 'u', 'z')",شَهروز,,,,,False,,
دربازکن,"('d', 'a', 'r', 'b', 'A', 'z', 'k', 'o', 'n')",دَربازکُن,,,,,False,,
موشک,"('m', 'u', 'S', 'a', 'k')",موشَک,,,,,False,,
سبقت,"('s', 'e', 'b', 'q', 'a', 't')",سِبقَت,,,,,False,,
تخته‌کلاه,"('t', 'a', 'x', 't', 'e', 'k', 'o', 'l', 'A')",تَختِه‌کُلاه,,,8,6,False,,
قاسم‌‌آبادی,"('q', 'A', 's', 'e', 'm', 'A', 'b', 'A', 'd', 'i')",قاسِم‌‌آبادی,,,,,False,,
سئول,"('s', 'e', '?', 'u', 'l')",سِئول,,,,,False,,
سگ‌خور,"('s', 'a', 'g', 'x', 'o', 'r')",سَگ‌خور,4,,,,False,,
سیمون,"('s', 'i', 'm', 'o', 'n')",سیمون,,,,,False,,
میترا,"('m', 'i', 't', 'r', 'A')",میترا,,,,,False,,
نومیدکننده,"('n', 'o', 'm', 'i', 'd', 'k', 'o', 'n', 'a', 'n', 'd', 'e')",نومیدکُنَندِه,1,,,,False,,
هایل,"('h', 'A', 'y', 'e', 'l')",هایِل,,,,,False,,
ماران,"('m', 'A', 'r', 'A', 'n')",ماران,,,,,False,,
دروغ‌سنج,"('d', 'u', 'r', 'u', 'q', 's', 'a', 'n', 'j')",دُروغ‌سَنج,,,,,False,,
زوائد,"('z', 'a', 'v', 'A', '?', 'e', 'd')",زَوائِد,,,,,False,,
فرهنگ‌‌سازی,"('f', 'a', 'r', 'h', 'a', 'n', 'g', 's', 'A', 'z', 'i')",فَرهَنگ‌‌سازی,,,,,False,,
بدرزاده,"('b', 'a', 'd', 'r', 'z', 'A', 'd', 'e')",بَدرزادِه,,,,,False,,
سیاه‌رود,"('s', 'i', 'y', 'A', 'h', 'r', 'u', 'd')",سیاه‌رود,,,3,3,False,,
ایسلند,"('?', 'i', 's', 'l', 'a', 'n', 'd')",ایسلَند,,,,,False,,
کاریز,"('k', 'A', 'r', 'i', 'z')",کاریز,,,,,False,,
صناعت,"('s', 'a', 'n', 'A', '?', 'a', 't')",صَناعَت,,,,,False,,
پتانسیل,"('p', 'o', 't', 'A', 'n', 's', 'i', 'y', 'e', 'l')",پُتانسیِل,,,,,False,,
بقلی,"('b', 'a', 'q', 'l', 'i')",بَقلی,,,,,False,,
حضرات,"('h', 'a', 'z', 'a', 'r', 'A', 't')",حَضَرات,,,,,False,,
گاورس,"('g', 'A', 'v', 'a', 'r', 's')",گاوَرس,,,,,False,,
حکیم‌باشی,"('h', 'a', 'k', 'i', 'm', 'b', 'A', 'S', 'i')",حَکیم‌باشی,,,,,False,,
کیموس,"('k', 'i', 'm', 'u', 's')",کیموس,,,,,False,,
تازه‌خریداری‌شده,"('t', 'A', 'z', 'e', 'x', 'a', 'r', 'i', 'd', 'A', 'r', 'i', 'S', 'o', 'd', 'e')",تازِه‌خَریداری‌شُدِه,,,,7,False,,
هوشمند,"('h', 'u', 'S', 'm', 'a', 'n', 'd')",هوشمَند,,,,,False,,
خرک,"('x', 'a', 'r', 'a', 'k')",خَرَک,,,,,False,,
تشکیکی,"('t', 'a', 'S', 'k', 'i', 'k', 'i')",تَشکیکی,,,,,False,,
ناروایی,"('n', 'A', 'r', 'a', 'v', 'A', 'y', 'i')",نارَوایی,,,,,False,,
آلفا‌هیدروکسی,"('?', 'A', 'l', 'f', 'A', 'h', 'i', 'd', 'r', 'o', 'k', 's', 'i')",آلفا‌هیدروکسی,9,,,,False,,
بزرگ‌شده,"('b', 'o', 'z', 'o', 'r', 'g', 'S', 'o', 'd', 'e')",بُزُرگ‌شُدِه,,,,,False,,
آسوده‌خاطر,"('?', 'A', 's', 'u', 'd', 'e', 'x', 'A', 't', 'e', 'r')",آسودِه‌خاطِر,,,7,6,False,,
الهی‌نامه,"('?', 'e', 'l', 'A', 'h', 'i', 'n', 'A', 'm', 'e')",اِلهی‌نامِه,,,3,2,False,,
جفتدار,"('j', 'o', 'f', 't', 'd', 'A', 'r')",جُفتدار,,,,,False,,
طوس,"('t', 'u', 's')",طوس,,,,,False,,
مطرود,"('m', 'a', 't', 'r', 'u', 'd')",مَطرود,,,,,False,,
کاسبکارانه,"('k', 'A', 's', 'e', 'b', 'k', 'A', 'r', 'A', 'n', 'e')",کاسِبکارانِه,,,,,False,,
استیلاگرانه,"('?', 'e', 's', 't', 'i', 'l', 'A', 'g', 'a', 'r', 'A', 'n', 'e')",اِستیلاگَرانِه,,,,,False,,
بهشت‌آباد,"('b', 'e', 'h', 'e', 'S', 't', 'A', 'b', 'A', 'd')",بِهِشت‌آباد,,,,,False,,
تیز‌چنگال,"('t', 'i', 'z', 'C', 'a', 'n', 'g', 'A', 'l')",تیز‌چَنگال,,,,,False,,
نادانی,"('n', 'A', 'd', 'A', 'n', 'i')",نادانی,,,,,False,,
قهوه‌‌چی,"('q', 'a', 'h', 'v', 'e', 'C', 'i')",قَهوِه‌‌چی,,,,,False,,
مائوری,"('m', 'A', '?', 'o', 'r', 'i')",مائوری,3,,,,False,,
مهرورزی,"('m', 'e', 'h', 'r', 'v', 'a', 'r', 'z', 'i')",مِهروَرزی,,,,,False,,
دانه‌دار,"('d', 'A', 'n', 'e', 'd', 'A', 'r')",دانِه‌دار,,,5,5,False,,
چهارمنطقه‌ای,"('C', 'A', 'h', 'A', 'r', 'm', 'a', 'n', 't', 'a', 'q', 'e', '?', 'i')",چهارمَنطَقِه‌ای,,,1,1,False,,
تصادم,"('t', 'a', 's', 'A', 'd', 'o', 'm')",تَصادُم,,,,,False,,
ملی‌گرایی,"('m', 'e', 'l', 'l', 'i', 'g', 'e', 'r', 'A', 'y', 'i')",مِلّی‌گِرایی,,,,,False,,
پوزیترون,"('p', 'o', 'z', 'i', 't', 'r', 'o', 'n')",پوزیترون,1,,,,False,,
رویاگونه,"('r', 'o', 'y', 'A', 'g', 'u', 'n', 'e')",رویاگونِه,1,,,,False,,
چند‌دارویی,"('C', 'a', 'n', 'd', 'd', 'A', 'r', 'u', 'y', 'i')",چَند‌داُرِویی,,,,,False,,
بی‌کله,"('b', 'i', 'k', 'a', 'l', 'l', 'e')",بی‌کَلِّه,,,,,False,,
نسرین,"('n', 'a', 's', 'r', 'i', 'n')",نَسرین,,,,,False,,
دوبرابری,"('d', 'o', 'b', 'a', 'r', 'A', 'b', 'a', 'r', 'i')",دوبَرابَری,1,,,,False,,
باقی‌پور,"('b', 'A', 'q', 'i', 'p', 'u', 'r')",باقی‌پور,,,,,False,,
پیشطاق,"('p', 'i', 'S', 't', 'A', 'q')",پیشطاق,,,,,False,,
عرضه‌داشت,"('?', 'a', 'r', 'z', 'e', 'd', 'A', 'S', 't')",عَرضِه‌داشت,,,6,5,False,,
سفر,"('s', 'a', 'f', 'a', 'r')",سَفَر,,,,,False,,
نعیم,"('n', 'a', '?', 'i', 'm')",نَعیم,,,,,False,,
تراش,"('t', 'a', 'r', 'A', 'S')",تَراش,,,,,False,,
اندیشه‌دار,"('?', 'a', 'n', 'd', 'i', 'S', 'e', 'd', 'A', 'r')",اَندیشِه‌دار,,,8,7,False,,
نازپرور,"('n', 'A', 'z', 'p', 'a', 'r', 'v', 'a', 'r')",نازپَروَر,,,,,False,,
طپانچه,"('t', 'a', 'p', 'A', 'n', 'C', 'e')",طَپانچِه,,,,,False,,
ترو,"('t', 'a', 'r', 'a', 'v')",تَرَو,,,,,False,,
کمدین,"('k', 'o', 'm', 'e', 'd', 'i', 'y', 'a', 'n')",کُمِدیَن,,,,,False,,
قلم‌‌خوردگی,"('q', 'a', 'l', 'a', 'm', 'x', 'o', 'r', 'd', 'e', 'g', 'i')",قَلَم‌‌خوردِگی,6,,,,False,,
انفجار‌گونه,"('?', 'e', 'n', 'f', 'e', 'j', 'A', 'r', 'g', 'u', 'n', 'e')",اِنفِجار‌گونِه,,,,,False,,
آب‌نبات,"('?', 'A', 'b', 'n', 'a', 'b', 'A', 't')",آب‌نَبات,,,,,False,,
درودزن,"('d', 'o', 'r', 'u', 'd', 'z', 'a', 'n')",دُرودزَن,,,,,False,,
تردید‌ناپذیر,"('t', 'a', 'r', 'd', 'i', 'd', 'n', 'A', 'p', 'a', 'z', 'i', 'r')",تَردید‌ناپَذیر,,,,,False,,
رسائل,"('r', 'a', 's', 'A', '?', 'e', 'l')",رَسائِل,,,,,False,,
ایمن,"('?', 'i', 'm', 'e', 'n')",ایمِن,,,,,False,,
گنج‌خانه,"('g', 'a', 'n', 'j', 'x', 'A', 'n', 'e')",گَنج‌خانِه,,,,,False,,
تبخیرکننده,"('t', 'a', 'b', 'x', 'i', 'r', 'k', 'o', 'n', 'a', 'n', 'd', 'e')",تَبخیرکُنَندِه,,,,,False,,
انسیکلوپدیست,"('?', 'a', 'n', 's', 'i', 'k', 'l', 'o', 'p', 'e', 'd', 'i', 's', 't')",اَنسیکلوپِدیست,,,,,False,,
سهیل,"('s', 'o', 'h', 'e', 'y', 'l')",سُهِیل,,,,,False,,
انوش‌آباد,"('?', 'a', 'n', 'u', 'S', 'A', 'b', 'A', 'd')",اَنوش‌آباد,,,,,False,,
برق‌گرفته,"('b', 'a', 'r', 'q', 'g', 'e', 'r', 'e', 'f', 't', 'e')",بَرق‌گِرِفتِه,,,,,False,,
بیخ‌گوشی,"('b', 'i', 'x', 'e', 'g', 'u', 'S', 'i')",بیخِ‌گوشی,,,,,False,,
مشکل‌ساز,"('m', 'o', 'S', 'k', 'e', 'l', 's', 'A', 'z')",مُشکِل‌ساز,,,,,False,,
