grapheme,phoneme,organized_grapheme,waw_o_exception_idx,silent_waw_idx,unwritten_A_phone_idx,spoken_A_grapheme_idx,is_variant,variant_num,variant_of_index
فرابر,"('f', 'a', 'r', 'A', 'b', 'a', 'r')",فَرابَر,,,,,False,,
فلسفه‌‌گرا,"('f', 'a', 'l', 's', 'a', 'f', 'e', 'g', 'e', 'r', 'A')",فَلسَفِه‌‌گِرا,,,10,8,False,,
مترصد,"('m', 'o', 't', 'e', 'r', 'a', 's', 's', 'e', 'd')",مُتِرَصِّد,,,,,False,,
دفاعیات,"('d', 'e', 'f', 'A', '?', 'i', 'y', 'y', 'A', 't')",دِفاعیات,,,8,,False,,
مطالعاتی,"('m', 'o', 't', 'A', 'l', 'e', '?', 'A', 't', 'i')",مُطالِعاَتی,,,,,False,,
اسکاندیناوی,"('?', 'e', 's', 'k', 'A', 'n', 'd', 'i', 'n', 'A', 'v', 'i')",اِسکاندیناوی,,,,,False,,
ترقی,"('t', 'a', 'r', 'a', 'q', 'q', 'i')",تَرَقّی,,,,,False,,
گودرز,"('g', 'u', 'd', 'a', 'r', 'z')",گودَرز,,,,,False,,
هم‌قسم,"('h', 'a', 'm', 'q', 'e', 's', 'm')",هَم‌قِسم,,,,,False,,
الکتروآنسفالوگراف,"('?', 'e', 'l', 'e', 'k', 't', 'e', 'r', 'o', '?', 'A', 'n', 's', 'e', 'f', 'A', 'l', 'o', 'g', 'e', 'r', 'A', 'f')",اِلِکتِروآنسِفالوگِراف,5,,,,False,,
کودنی,"('k', 'o', 'u', 'd', 'a', 'n', 'i')",کُودَنی,1,,,,False,,
در‌نزد,"('d', 'a', 'r', 'n', 'a', 'z', 'd', 'e')",دَر‌نَزدِ,,,,,False,,
فاروئی,"('f', 'A', 'r', 'o', '?', 'i')",فاروئی,3,,,,False,,
غیر‌‌حقوق‌‌بگیر,"('q', 'e', 'y', 'r', 'e', 'h', 'u', 'q', 'u', 'q', 'b', 'e', 'g', 'i', 'r')",غِیرِ‌‌حُقوق‌‌بِگیر,,,,,False,,
رگ‌وریشه,"('r', 'a', 'g', 'o', 'r', 'i', 'S', 'e')",رَگ‌وریشِه,3,,,,False,,
فانتزی,"('f', 'A', 'n', 't', 'e', 'z', 'i')",فانتِزی,,,,,False,,
زق,"('z', 'o', 'q')",زُق,,,,,False,,
نگرفته,"('n', 'a', 'g', 'e', 'r', 'e', 'f', 't', 'e')",نَگِرِفتِه,,,,,False,,
عطارباشی,"('?', 'a', 't', 't', 'A', 'r', 'b', 'A', 'S', 'i')",عَطارباشی,,,4,3,False,,
سرفه‌کنان,"('s', 'o', 'r', 'f', 'e', 'k', 'o', 'n', 'A', 'n')",سُرفِه‌کُنان,,,8,6,False,,
ترشیده,"('t', 'o', 'r', 'S', 'i', 'd', 'e')",تُرشیدِه,,,,,False,,
الگوسازی,"('?', 'o', 'l', 'g', 'u', 's', 'A', 'z', 'i')",اُلگوسازی,,,,,False,,
عفیف,"('?', 'a', 'f', 'i', 'f')",عَفیف,,,,,False,,
یه‌راست,"('y', 'e', 'r', 'A', 's', 't')",یِه‌راست,,,3,3,False,,
منیعی,"('m', 'a', 'n', 'i', '?', 'i')",مَنیعی,,,,,False,,
اوتاوا,"('?', 'o', 't', 'A', 'v', 'A')",اوتاوا,1,,,,False,,
خردوخمیر,"('x', 'o', 'r', 'd', 'o', 'x', 'a', 'm', 'i', 'r')",خُردوخَمیر,3,,,,False,,
انجام‌پذیر,"('?', 'a', 'n', 'j', 'A', 'm', 'p', 'a', 'z', 'i', 'r')",اَنجام‌پَذیر,,,,,False,,
هپتان,"('h', 'e', 'p', 't', 'A', 'n')",هِپتان,,,,,False,,
پلوخوری,"('p', 'o', 'l', 'o', 'x', 'o', 'r', 'i')",پُلوخوری,"2,4",,,,False,,
نارسیده,"('n', 'A', 'r', 'e', 's', 'i', 'd', 'e')",نارِسیدِه,,,,,False,,
تمام‌شده,"('t', 'a', 'm', 'A', 'm', 'S', 'o', 'd', 'e')",تَمام‌شُدِه,,,,,False,,
صلبی,"('s', 'o', 'l', 'b', 'i')",صُلبی,,,,,False,,
حسرت,"('h', 'a', 's', 'r', 'a', 't')",حَسرَت,,,,,False,,
بخل,"('b', 'o', 'x', 'l')",بُخل,,,,,False,,
توحید,"('t', 'o', 'u', 'h', 'i', 'd')",تُوحید,1,,,,False,,
آشتی,"('?', 'A', 'S', 't', 'i')",آشتی,,,,,False,,
ارسطویی,"('?', 'A', 'r', 'a', 's', 't', 'u', 'y', 'i')",اَرَسطویی,,,,,False,,
اثرپذیری,"('?', 'a', 's', 'a', 'r', 'p', 'a', 'z', 'i', 'r', 'i')",اَثَرپَذیری,,,,,False,,
آبکوپیل,"('?', 'A', 'b', 'k', 'u', 'p', 'i', 'l')",آبکوپیل,,,,,False,,
جرقه‌خاموش‌کن,"('j', 'a', 'r', 'a', 'q', 'q', 'e', 'x', 'A', 'm', 'u', 'S', 'k', 'o', 'n')",جَرَقِّه‌خاموش‌کُن,,,,,False,,
تراس‌بندی,"('t', 'e', 'r', 'A', 's', 'b', 'a', 'n', 'd', 'i')",تِراس‌بَندی,,,,,False,,
دولت‌سازی,"('d', 'o', 'l', 'a', 't', 's', 'A', 'z', 'i')",دولَت‌سازی,1,,,,False,,
پشگ,"('p', 'e', 'S', 'g')",پِشگ,,,,,False,,
نمادی,"('n', 'a', 'm', 'A', 'd', 'i')",نَمادی,,,,,False,,
تولیدی,"('t', 'o', 'l', 'i', 'd', 'i')",تولیدی,1,,,,False,,
لیس,"('l', 'i', 's')",لیس,,,,,False,,
غیراتمی,"('q', 'e', 'y', 'r', 'e', '?', 'a', 't', 'o', 'm', 'i')",غِیرِاَتُمی,,,,,False,,
انیمیشنی,"('?', 'a', 'n', 'i', 'm', 'e', 'y', 'S', 'e', 'n', 'i')",اَنیمِیشِنی,,,,,False,,
صبح‌‌به‌‌خیر,"('s', 'o', 'b', 'h', 'b', 'e', 'x', 'e', 'y', 'r')",صُبح‌‌بِه‌‌خِیر,,,,,False,,
خلاند,"('x', 'a', 'l', 'A', 'n', 'd')",خَلاند,,,,,False,,
چهار‌مقاله,"('C', 'A', 'h', 'A', 'r', 'm', 'a', 'q', 'A', 'l', 'e')",چهار‌مَقالِه,,,1,1,False,,
بتولین,"('b', 'o', 't', 'o', 'l', 'i', 'n')",بُتولین,2,,,,False,,
کودن,"('k', 'o', 'd', 'a', 'n')",کودَن,1,,,,False,,
لحاظ,"('l', 'a', 'h', 'A', 'z')",لَحاظ,,,,,False,,
ترشح,"('t', 'a', 'r', 'a', 'S', 'S', 'o', 'h')",تَرَشُّح,,,,,False,,
غال,"('q', 'A', 'l')",غال,,,,,False,,
دیابت,"('d', 'i', 'y', 'A', 'b', 'e', 't')",دیابِت,,,3,3,False,,
خواب‌آور,"('x', 'A', 'b', 'A', 'v', 'a', 'r')",خواب‌آوَر,,1,,,False,,
نارنج,"('n', 'A', 'r', 'a', 'n', 'j')",نارَنج,,,,,False,,
دشتبان,"('d', 'a', 'S', 't', 'b', 'A', 'n')",دَشتبان,,,,,False,,
نصف‌العمر,"('n', 'e', 's', 'f', 'o', 'l', '?', 'o', 'm', 'r')",نِصف‌اُلعُمر,,,,,False,,
بینایی,"('b', 'i', 'n', 'A', 'y', 'i')",بینایی,,,,,False,,
کاهنه,"('k', 'A', 'h', 'e', 'n', 'e')",کاهِنِه,,,,,False,,
هم‌جبهه‌ای,"('h', 'a', 'm', 'j', 'e', 'b', 'h', 'e', '?', 'i')",هَم‌جِبهِه‌ای,,,,,False,,
سکنگبین,"('s', 'e', 'k', 'a', 'n', 'g', 'a', 'b', 'i', 'n')",سِکَنگَبین,,,,,False,,
ئیدرولیز,"('?', 'i', 'd', 'r', 'o', 'l', 'i', 'z')",ئیدرولیز,,,,,False,,
رقابت‌مندی,"('r', 'e', 'q', 'A', 'b', 'a', 't', 'm', 'a', 'n', 'd', 'i')",رِقابَت‌مَندی,,,,,False,,
نیک‌فرجام,"('n', 'i', 'k', 'f', 'a', 'r', 'j', 'A', 'm')",نیک‌فَرجام,,,,,False,,
اعمال,"('?', 'a', '?', 'm', 'A', 'l')",اعمال,,,,,False,,
ابوالوفا,"('?', 'a', 'b', 'o', 'l', 'v', 'a', 'f', 'A')",اَبوالَوفا,2,,8,6,False,,
مسکنت,"('m', 'a', 's', 'k', 'a', 'n', 'a', 't')",مَسکَنَت,,,,,False,,
گندم,"('g', 'a', 'n', 'd', 'o', 'm')",گَندُم,,,,,False,,
تاتی,"('t', 'A', 't', 'i')",تاتی,,,,,False,,
همسری,"('h', 'a', 'm', 's', 'a', 'r', 'i')",هَمسَری,,,,,False,,
گزن,"('g', 'a', 'z', 'a', 'n')",گَزَن,,,,,False,,
نهاوند‌شناسی,"('n', 'a', 'h', 'A', 'v', 'a', 'n', 'd', 'S', 'e', 'n', 'A', 's', 'i')",نَهاوَند‌شِناسی,,,,,False,,
یک‌خورده,"('y', 'e', 'k', 'x', 'o', 'r', 'd', 'e')",یِک‌خوردِه,4,,,,False,,
ملیت‌گرایی,"('m', 'e', 'l', 'l', 'i', 'y', 'y', 'a', 't', 'g', 'e', 'r', 'A', 'y', 'i')",مِلّیَّت‌گِرایی,,,,9,False,,
محمد‌جواد,"('m', 'o', 'h', 'a', 'm', 'm', 'a', 'd', 'j', 'a', 'v', 'A', 'd')",مُحَمَّد‌جَواد,,,11,,False,,
علی‌‌حده,"('?', 'a', 'l', 'A', 'h', 'e', 'd', 'd', 'e')",عَلی‌‌حِدِّه,,,,2,False,,
تاریخی‌گری,"('t', 'A', 'r', 'i', 'x', 'i', 'g', 'a', 'r', 'i')",تاریخی‌گَری,,,,,False,,
بسمه‌تعالی,"('b', 'e', 's', 'm', 'e', '?', 'i', 't', 'a', '?', 'A', 'l', 'A')",بِسمِه‌تِعَاَلی,,,12,9,False,,
قاعدگی,"('q', 'A', '?', 'e', 'd', 'e', 'g', 'i')",قاعِدِگی,,,,,False,,
استخوان‌دار,"('?', 'o', 's', 't', 'e', 'x', 'A', 'n', 'd', 'A', 'r')",اُستِخوان‌دار,,4,,,False,,
یکسان‌اندیش,"('y', 'e', 'k', 's', 'A', 'n', 'a', 'n', 'd', 'i', 'S')",یِکسان‌اَندیش,,,,,False,,
فواحش,"('f', 'a', 'v', 'A', 'h', 'e', 'S')",فَواحِش,,,,,False,,
لودیکول,"('l', 'u', 'd', 'i', 'k', 'u', 'l')",لودیکول,,,,,False,,
خودبخود,"('x', 'o', 'd', 'b', 'e', 'x', 'o', 'd')",خودبِخود,"1,5",,,,False,,
تاری‌خانه,"('t', 'A', 'r', 'i', 'x', 'A', 'n', 'e')",تاری‌خانِه,,,,,False,,
برزخ,"('b', 'a', 'r', 'z', 'a', 'x')",بَرزَخ,,,,,False,,
گوهر,"('g', 'o', 'h', 'a', 'r')",گوهَر,1,,,,False,,
یک‌حزبی,"('y', 'e', 'k', 'h', 'e', 'z', 'b', 'i')",یِک‌حِزبی,,,,,False,,
تهجد,"('t', 'a', 'h', 'a', 'j', 'j', 'o', 'd')",تَهَجُّد,,,,,False,,
یحیایی,"('y', 'a', 'h', 'y', 'A', 'y', 'i')",یَحیایی,,,,,False,,
در‌این‌راستا,"('d', 'a', 'r', 'i', 'n', 'r', 'A', 's', 't', 'A')",دَر‌این‌راستا,,,6,5,False,,
آمیزش,"('?', 'A', 'm', 'i', 'z', 'e', 'S')",آمیزِش,,,,,False,,
خریدکننده,"('x', 'a', 'r', 'i', 'd', 'k', 'o', 'n', 'a', 'n', 'd', 'e')",خَریدکُنَندِه,,,,,False,,
شتافت,"('S', 'e', 't', 'A', 'f', 't')",شِتافت,,,,,False,,
صندلی,"('s', 'a', 'n', 'd', 'a', 'l', 'i')",صَندَلی,,,,,False,,
ماشین‌سازی,"('m', 'A', 'S', 'i', 'n', 's', 'A', 'z', 'i')",ماشین‌سازی,,,,,False,,
تایید,"('t', 'A', 'y', 'i', 'd')",تایید,,,,,False,,
جانشین‌سازی,"('j', 'A', 'n', 'e', 'S', 'i', 'n', 's', 'A', 'z', 'i')",جانِشین‌سازی,,,,,False,,
تختال,"('t', 'a', 'x', 't', 'A', 'l')",تَختال,,,,,False,,
دست‌وپاشکسته,"('d', 'a', 's', 't', 'o', 'p', 'A', 'S', 'e', 'k', 'a', 's', 't', 'e')",دَست‌وپاشِکَستِه,4,,,,False,,
سرهم‌نویسی,"('s', 'a', 'r', 'h', 'a', 'm', 'n', 'e', 'v', 'i', 's', 'i')",سَرهَم‌نِویسی,,,,,False,,
اتکایی,"('?', 'e', 't', 't', 'e', 'k', 'A', 'y', 'i')",اِتِّکایی,,,,4,False,,
چکاننده,"('C', 'e', 'k', 'A', 'n', 'a', 'n', 'd', 'e')",چِکانَندِه,,,,,False,,
بلشویک,"('b', 'o', 'l', 'S', 'o', 'v', 'i', 'k')",بُلشویک,3,,,,False,,
ملامحمدی,"('m', 'o', 'l', 'l', 'A', 'm', 'o', 'h', 'a', 'm', 'm', 'a', 'd', 'i')",مُلامُحَمَّدی,,,4,3,False,,
فروساخت,"('f', 'u', 'r', 'u', 's', 'A', 'x', 't')",فُروساخت,,,,,False,,
علی‌اصغری,"('?', 'a', 'l', 'i', '?', 'a', 's', 'q', 'a', 'r', 'i')",عَلی‌اَصغَری,,,,,False,,
سترد,"('s', 'e', 't', 'o', 'r', 'd')",سِتُرد,,,,,False,,
آبششداران,"('?', 'A', 'b', 'S', 'o', 'S', 'd', 'A', 'r', 'A', 'n')",آبشُشداران,,,,,False,,
اتمسفر,"('?', 'a', 't', 'm', 'o', 's', 'f', 'e', 'r')",اَتمُسفِر,,,,,False,,
بالاسر,"('b', 'A', 'l', 'A', 's', 'a', 'r')",بالاسَر,,,,,False,,
گارسن,"('g', 'A', 'r', 's', 'o', 'n')",گارسُن,,,,,False,,
تعالیم,"('t', 'a', '?', 'A', 'l', 'i', 'm')",تَعاَلیم,,,,,False,,
اردستانی‌زاده,"('?', 'a', 'r', 'd', 'e', 's', 't', 'A', 'n', 'i', 'z', 'A', 'd', 'e')",اَردِستانی‌زادِه,,,,,False,,
نقش‌اندازی,"('n', 'a', 'q', 'S', 'a', 'n', 'd', 'A', 'z', 'i')",نَقش‌اَندازی,,,,,False,,
رزم‌آرا,"('r', 'a', 'z', 'm', 'A', 'r', 'A')",رَزم‌آرا,,,,,False,,
اقتصاد‌سنجی,"('?', 'e', 'q', 't', 'e', 's', 'A', 'd', 's', 'a', 'n', 'j', 'i')",اِقتِصاد‌سَنجی,,,,,False,,
دین‌فروشی,"('d', 'i', 'n', 'f', 'o', 'r', 'u', 'S', 'i')",دین‌فُروشی,,,,,False,,
برانگیخته,"('b', 'a', 'r', 'a', 'n', 'g', 'i', 'x', 't', 'e')",بَراَنگیختِه,,,,,False,,
عمر‌‌خیام,"('?', 'o', 'm', 'a', 'r', 'x', 'a', 'y', 'y', 'A', 'm')",عُمَر‌‌خَیام,,,9,8,False,,
هیستری,"('h', 'i', 's', 't', 'e', 'r', 'i')",هیستِری,,,,,False,,
امولسیون,"('?', 'e', 'm', 'o', 'l', 's', 'i', 'y', 'o', 'n')",اِمولسیون,"2,6",,,,False,,
آزیتا,"('?', 'A', 'z', 'i', 't', 'A')",آزیتا,,,,,False,,
یاس‌پراکنی,"('y', 'a', '?', 's', 'p', 'a', 'r', 'A', 'k', 'a', 'n', 'i')",یَاس‌پَراکَنی,,,7,8,False,,
مالامال,"('m', 'A', 'l', 'A', 'm', 'A', 'l')",مالامال,,,,,False,,
کربولیک‌اسید,"('k', 'a', 'r', 'b', 'o', 'l', 'i', 'k', 'a', 's', 'i', 'd')",کَربولیک‌اَسید,3,,,,False,,
کمک‌‌نقشه‌‌بردار,"('k', 'o', 'm', 'a', 'k', 'n', 'a', 'q', 'S', 'e', 'b', 'a', 'r', 'd', 'A', 'r')",کُمَک‌‌نَقشِه‌‌بَردار,,,14,13,False,,
فرخ‌‌نژاد,"('f', 'a', 'r', 'r', 'o', 'x', 'n', 'e', 'Z', 'A', 'd')",فَرُّخ‌‌نِژاد,,,9,8,False,,
قندسنج,"('q', 'a', 'n', 'd', 's', 'a', 'n', 'j')",قَندسَنج,,,,,False,,
درسخوان,"('d', 'a', 'r', 's', 'x', 'A', 'n')",دَرسخوان,,4,,,False,,
خشونت‌گرایی,"('x', 'o', 'S', 'u', 'n', 'a', 't', 'g', 'e', 'r', 'A', 'y', 'i')",خُشونَت‌گِرایی,,,,,False,,
اصلا,"('?', 'a', 's', 'l', 'a', 'n')",اَصلاَ,,,,,False,,
خردادی,"('x', 'o', 'r', 'd', 'A', 'd', 'i')",خُردادی,,,,,False,,
تغزل,"('t', 'a', 'q', 'a', 'z', 'z', 'o', 'l')",تَغَزُّل,,,,,False,,
نفخ,"('n', 'a', 'f', 'x')",نَفخ,,,,,False,,
سولفژ,"('s', 'o', 'l', 'f', 'e', 'Z')",سولفِژ,1,,,,False,,
سمعک,"('s', 'a', 'm', '?', 'a', 'k')",سَمعَک,,,,,False,,
پیشگام,"('p', 'i', 'S', 'g', 'A', 'm')",پیشگام,,,,,False,,
تخمین,"('t', 'a', 'x', 'm', 'i', 'n')",تَخمین,,,,,False,,
تفنگدار,"('t', 'o', 'f', 'a', 'n', 'g', 'd', 'A', 'r')",تُفَنگدار,,,,,False,,
چهار‌فصل,"('C', 'A', 'h', 'A', 'r', 'f', 'a', 's', 'l')",چهار‌فَصل,,,1,1,False,,
رحیم‌زاده,"('r', 'a', 'h', 'i', 'm', 'z', 'A', 'd', 'e')",رَحیم‌زادِه,,,,,False,,
پاغره,"('p', 'A', 'q', 'o', 'r', 'e')",پاغُرِه,,,,,False,,
عبرت‌‌آموزی,"('?', 'e', 'b', 'r', 'a', 't', 'A', 'm', 'u', 'z', 'i')",عِبرَت‌‌آموزی,,,,,False,,
بدسابقه,"('b', 'a', 'd', 's', 'A', 'b', 'e', 'q', 'e')",بَدسابِقِه,,,,,False,,
اسباب‌چینی,"('?', 'a', 's', 'b', 'A', 'b', 'C', 'i', 'n', 'i')",اَسباب‌چینی,,,,,False,,
گفتمان‌نویسی,"('g', 'o', 'f', 't', 'e', 'm', 'A', 'n', 'n', 'e', 'v', 'i', 's', 'i')",گُفتِمانِ‌نِویسی,,,,,False,,
گازوئیلی,"('g', 'A', 'z', 'o', '?', 'i', 'l', 'i')",گازوئیلی,3,,,,False,,
الحق,"('?', 'a', 'l', 'h', 'a', 'q')",اَلحَق,,,,,False,,
فضل‌‌ابن‌‌شاذان,"('f', 'a', 'z', 'l', 'e', 'b', 'n', 'e', 'S', 'A', 'z', 'A', 'n')",فَضلِ‌‌ابِن‌‌شاذان,,,9,10,False,,
عقابها,"('?', 'o', 'q', 'A', 'b', 'h', 'A')",عُقابها,,,,,False,,
والی,"('v', 'A', 'l', 'i')",والی,,,,,False,,
هشت‌ترک,"('h', 'a', 'S', 't', 't', 'a', 'r', 'k')",هَشتَ‌ترک,,,,,False,,
عتیق,"('?', 'a', 't', 'i', 'q')",عَتیق,,,,,False,,
عیار‌نامه,"('?', 'a', 'y', 'y', 'A', 'r', 'n', 'A', 'm', 'e')",عَیار‌نامِه,,,4,3,False,,
خشونت‌گر,"('x', 'o', 'S', 'u', 'n', 'a', 't', 'g', 'a', 'r')",خُشونَت‌گَر,,,,,False,,
کشتبان,"('k', 'e', 'S', 't', 'b', 'A', 'n')",کِشتبان,,,,,False,,
همرس,"('h', 'a', 'm', 'r', 'a', 's')",هَمرَس,,,,,False,,
بالاراسته,"('b', 'A', 'l', 'A', 'r', 'A', 's', 't', 'e')",بالاراستِه,,,,,False,,
تاریخ‌گرا,"('t', 'A', 'r', 'i', 'x', 'g', 'e', 'r', 'A')",تاریخ‌گِرا,,,,,False,,
نیمه‌هادی,"('n', 'i', 'm', 'e', 'h', 'A', 'd', 'i')",نیمِه‌هادی,,,5,5,False,,
دهقانی,"('d', 'e', 'h', 'q', 'A', 'n', 'i')",دِهقانی,,,,,False,,
تخریب,"('t', 'a', 'x', 'r', 'i', 'b')",تَخریب,,,,,False,,
سررشته‌داری,"('s', 'a', 'r', 'r', 'e', 'S', 't', 'e', 'd', 'A', 'r', 'i')",سَرِرشِته‌دِاری,,,9,7,False,,
غفلت,"('q', 'e', 'f', 'l', 'a', 't')",غِفلَت,,,,,False,,
بی‌مشتری,"('b', 'i', 'm', 'o', 'S', 't', 'a', 'r', 'i')",بی‌مُشتَری,,,,,False,,
اصولگرایانه,"('?', 'u', 's', 'u', 'l', 'g', 'e', 'r', 'A', 'y', 'A', 'n', 'e')",اُصولگِرایانِه,,,,,False,,
با‌آتیه,"('b', 'A', '?', 'A', 't', 'i', 'y', 'e')",با‌آتیِه,,,,,False,,
اسماعیلیان,"('?', 'e', 's', 'm', 'A', '?', 'i', 'l', 'i', 'y', 'A', 'n')",اِسماعیلیان,,,10,9,False,,
دوروبر,"('d', 'o', 'r', 'o', 'b', 'a', 'r')",دوروبَر,"1,3",,,,False,,
تاوان,"('t', 'A', 'v', 'A', 'n')",تاوان,,,,,False,,
تکشکل,"('t', 'a', 'k', 'S', 'e', 'k', 'l')",تَکشِکل,,,,,False,,
اغراق,"('?', 'e', 'q', 'r', 'A', 'q')",اِغراق,,,,,False,,
پرکین‌و‌آز,"('p', 'o', 'r', 'k', 'i', 'n', 'o', '?', 'A', 'z')",پُرکین‌و‌آز,,,,,False,,
پشک,"('p', 'e', 'S', 'k')",پِشک,,,,,False,,
مفرغ,"('m', 'e', 'f', 'r', 'a', 'q')",مِفرَغ,,,,,False,,
خوزه,"('x', 'o', 'z', 'e')",خوزِه,1,,,,False,,
سیب,"('s', 'i', 'b')",سیب,,,,,False,,
شوریده,"('S', 'u', 'r', 'i', 'd', 'e')",شوریدِه,,,,,False,,
ستون‌سازی,"('s', 'u', 't', 'u', 'n', 's', 'A', 'z', 'i')",سُتون‌سازی,,,,,False,,
الصاقی,"('?', 'e', 'l', 's', 'A', 'q', 'i')",اِلصاقی,,,,,False,,
چپگرد,"('C', 'a', 'p', 'g', 'a', 'r', 'd')",چَپگَرد,,,,,False,,
روستایی‌نشین,"('r', 'u', 's', 't', 'A', 'y', 'i', 'n', 'e', 'S', 'i', 'n')",روستایی‌نِشین,,,,,False,,
علامت‌‌دار,"('?', 'a', 'l', 'A', 'm', 'a', 't', 'd', 'A', 'r')",عَلامَت‌‌دار,,,,,False,,
نقدنامه,"('n', 'a', 'q', 'd', 'n', 'A', 'm', 'e')",نَقدنامِه,,,,,False,,
آقاخانی,"('?', 'A', 'q', 'A', 'x', 'A', 'n', 'i')",آقاخانی,,,,,False,,
مبارک‌باد,"('m', 'o', 'b', 'A', 'r', 'a', 'k', 'b', 'A', 'd')",مُبارَک‌باد,,,,,False,,
قطرات,"('q', 'a', 't', 'a', 'r', 'A', 't')",قَطَرات,,,,,False,,
تنوع‌گرایی,"('t', 'a', 'n', 'a', 'v', 'v', 'o', '?', 'g', 'e', 'r', 'A', 'y', 'i')",تَنَوُّع‌گِرایی,,,,8,False,,
سودجویی,"('s', 'u', 'd', 'j', 'u', 'y', 'i')",سودجویی,,,,,False,,
دموگرافیک,"('d', 'e', 'm', 'o', 'g', 'e', 'r', 'A', 'f', 'i', 'k')",دِموگِرافیک,2,,,,False,,
مهر‌آباد,"('m', 'e', 'h', 'r', 'A', 'b', 'A', 'd')",مِهر‌آباد,,,,,False,,
فتنه‌گر,"('f', 'e', 't', 'n', 'e', 'g', 'a', 'r')",فِتنِه‌گَر,,,,,False,,
مانع‌گذاری,"('m', 'A', 'n', 'e', '?', 'g', 'o', 'z', 'A', 'r', 'i')",مانِع‌گُذاری,,,,,False,,
پیتکانتروپ,"('p', 'i', 't', 'e', 'k', 'A', 'n', 't', 'e', 'r', 'o', 'p')",پیتِکانتِروپ,,,,,False,,
کم‌‌دانش,"('k', 'a', 'm', 'd', 'A', 'n', 'e', 'S')",کَم‌‌دانِش,,,,,False,,
نامگذاری,"('n', 'A', 'm', 'g', 'o', 'z', 'A', 'r', 'i')",نامگُذاری,,,,,False,,
هم‌اندیش,"('h', 'a', 'm', 'a', 'n', 'd', 'i', 'S')",هَم‌اَندیش,,,,,False,,
آشتیانی,"('?', 'A', 'S', 't', 'i', 'y', 'A', 'n', 'i')",آشتیانی,,,6,5,False,,
عرفات,"('?', 'a', 'r', 'a', 'f', 'A', 't')",عَرَفات,,,,,False,,
دمق,"('d', 'a', 'm', 'a', 'q')",دَمَق,,,,,False,,
پاروزنی,"('p', 'A', 'r', 'u', 'z', 'a', 'n', 'i')",پاروزَنی,,,,,False,,
خودساخته,"('x', 'o', 'd', 's', 'A', 'x', 't', 'e')",خودساختِه,1,,,,False,,
هست‌و‌نیست,"('h', 'a', 's', 't', 'o', 'n', 'i', 's', 't')",هَست‌و‌نیست,4,,,,False,,
سینک,"('s', 'i', 'n', 'k')",سینک,,,,,False,,
کلیمی,"('k', 'a', 'l', 'i', 'm', 'i')",کَلیمی,,,,,False,,
فروشگاهی,"('f', 'u', 'r', 'u', 'S', 'g', 'A', 'h', 'i')",فُروشگاهی,,,,,False,,
دیسکت,"('d', 'i', 's', 'k', 'e', 't')",دیسکِت,,,,,False,,
فراماسونری,"('f', 'e', 'r', 'A', 'm', 'A', 's', 'o', 'n', 'e', 'r', 'i')",فِراماسونِری,6,,,,False,,
دورریختنی,"('d', 'u', 'r', 'r', 'i', 'x', 't', 'a', 'n', 'i')",دورِریخِتنی,,,,,False,,
بی‌تغییر,"('b', 'i', 't', 'a', 'q', 'y', 'i', 'r')",بی‌تَغییر,,,,,False,,
بیت‌العرب,"('b', 'e', 'y', 't', 'o', 'l', '?', 'a', 'r', 'a', 'b')",بِیت‌اُلعَرَب,,,,,False,,
بر‌عهده,"('b', 'a', 'r', '?', 'o', 'h', 'd', 'e')",بَر‌عُهدِه,,,,,False,,
دلسرد,"('d', 'e', 'l', 's', 'a', 'r', 'd')",دِلسَرد,,,,,False,,
لیم,"('l', 'i', 'm')",لیم,,,,,False,,
مهدعلیا,"('m', 'a', 'h', 'd', 'e', '?', 'o', 'l', 'i', 'y', 'A')",مَهدِعُلیا,,,10,,False,,
سپیدار,"('s', 'e', 'p', 'i', 'd', 'A', 'r')",سِپیدار,,,,,False,,
طوارق,"('t', 'a', 'v', 'A', 'r', 'e', 'q')",طَوارِق,,,,,False,,
راهگشا,"('r', 'A', 'h', 'g', 'o', 'S', 'A')",راهگُشا,,,,,False,,
اعجاز,"('?', 'e', '?', 'j', 'A', 'z')",اِعجاز,,,,,False,,
کپرنشین,"('k', 'a', 'p', 'a', 'r', 'n', 'e', 'S', 'i', 'n')",کَپَرنِشین,,,,,False,,
مفتاح‌الحساب,"('m', 'e', 'f', 't', 'A', 'h', 'o', 'l', 'h', 'e', 's', 'A', 'b')",مِفتاح‌اُلحِساب,,,11,9,False,,
اعلیحضرتین,"('?', 'a', '?', 'l', 'A', 'h', 'a', 'z', 'r', 'a', 't', 'e', 'y', 'n')",اعلَیحَضرِتین,,,,3,False,,
ابراهیم‌پور,"('?', 'e', 'b', 'r', 'A', 'h', 'i', 'm', 'p', 'u', 'r')",اِبراهیم‌پور,,,,,False,,
واگذار‌کننده,"('v', 'A', 'g', 'o', 'z', 'A', 'r', 'k', 'o', 'n', 'a', 'n', 'd', 'e')",واگُذار‌کُنَندِه,,,,,False,,
بیانیه‌ای,"('b', 'a', 'y', 'A', 'n', 'i', 'y', 'y', 'e', '?', 'i')",بَیانیِّه‌ای,,,,,False,,
الاستومر,"('?', 'e', 'l', 'A', 's', 't', 'o', 'm', 'e', 'r')",اِلاستومِر,5,,,,False,,
هژبریان,"('h', 'o', 'Z', 'a', 'b', 'r', 'i', 'y', 'A', 'n')",هُژَبریان,,,8,6,False,,
شیر,"('S', 'i', 'r')",شیر,,,,,False,,
